Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Gen0;Gen1;Gen2;Allocated
SortArrayRandom;DefaultJob;False;Default;Default;Default;Default;Default;Default;0000000000;Empty;RyuJit;Default;Arm64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 9.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;536.13 μs;3.027 μs;2.832 μs;0.0000;0.0000;0.0000;1 B
SortArrayUsingInsertionSortRandom;DefaultJob;False;Default;Default;Default;Default;Default;Default;0000000000;Empty;RyuJit;Default;Arm64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 9.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;62.76 μs;0.147 μs;0.137 μs;0.0000;0.0000;0.0000;0 B
SortArrayUsingMergeSortRandom;DefaultJob;False;Default;Default;Default;Default;Default;Default;0000000000;Empty;RyuJit;Default;Arm64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 9.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"2,674.14 μs";29.104 μs;27.224 μs;1582.0313;230.4688;230.4688;12131806 B
SortArrayUsingQuickSortRandom;DefaultJob;False;Default;Default;Default;Default;Default;Default;0000000000;Empty;RyuJit;Default;Arm64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 9.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"1,217,320.21 μs";"6,063.568 μs";"5,671.865 μs";0.0000;0.0000;0.0000;4 B
SortArraySorted;DefaultJob;False;Default;Default;Default;Default;Default;Default;0000000000;Empty;RyuJit;Default;Arm64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 9.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;548.57 μs;10.844 μs;10.650 μs;0.0000;0.0000;0.0000;1 B
SortArrayUsingInsertionSortSorted;DefaultJob;False;Default;Default;Default;Default;Default;Default;0000000000;Empty;RyuJit;Default;Arm64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 9.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;63.59 μs;0.472 μs;0.394 μs;0.0000;0.0000;0.0000;0 B
SortArrayUsingMergeSortSorted;DefaultJob;False;Default;Default;Default;Default;Default;Default;0000000000;Empty;RyuJit;Default;Arm64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 9.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"2,705.84 μs";37.706 μs;35.270 μs;1582.0313;230.4688;230.4688;12131802 B
SortArrayUsingQuickSortSorted;DefaultJob;False;Default;Default;Default;Default;Default;Default;0000000000;Empty;RyuJit;Default;Arm64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 9.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;"1,213,129.70 μs";"1,708.561 μs";"1,426.726 μs";0.0000;0.0000;0.0000;46 B
SortArrayReversed;DefaultJob;False;Default;Default;Default;Default;Default;Default;0000000000;Empty;RyuJit;Default;Arm64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 9.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;491.66 μs;1.441 μs;1.348 μs;0.0000;0.0000;0.0000;0 B
SortArrayUsingInsertionSortReversed;DefaultJob;False;Default;Default;Default;Default;Default;Default;0000000000;Empty;RyuJit;Default;Arm64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 9.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;Default;63.17 μs;0.053 μs;0.047 μs;0.0000;0.0000;0.0000;0 B
